company_name,job_type,job_name,description,qualifications
Integrated Finance & Accounting Solutions (IFAS),Unknown,Actively Hiring,Extracted via local fallback parser (LLM unavailable).,Application Security
Integrated Finance & Accounting Solutions (IFAS),Unknown,Information System Security Officer,Extracted via local fallback parser (LLM unavailable).,Application Security
Vaco by Highspring,Unknown,GRC Analyst,Extracted via local fallback parser (LLM unavailable).,GRC Analyst
RouteOne,Unknown,"Dallas, TX",Extracted via local fallback parser (LLM unavailable).,GRC Analyst
RouteOne,Unknown,GRC Analyst,Extracted via local fallback parser (LLM unavailable).,GRC Analyst
Inceed,Unknown,GRC Analyst,Extracted via local fallback parser (LLM unavailable).,GRC Analyst
Actively Hiring,Unknown,GRC Analyst,Extracted via local fallback parser (LLM unavailable).,GRC Analyst
Tinder,Unknown,Machine Learning Engineer Intern,Extracted via local fallback parser (LLM unavailable).,Machine Learning Engineer
Fanatics,Unknown,Data Scientist,Extracted via local fallback parser (LLM unavailable).,Machine Learning Engineer
Meter,Unknown,"Software Engineer, Models",Extracted via local fallback parser (LLM unavailable).,Machine Learning Engineer
hackajob,Unknown,Software Engineer,Extracted via local fallback parser (LLM unavailable).,Machine Learning Engineer
"Oak Brook, IL",Unknown,Software Engineer I - AI,Extracted via local fallback parser (LLM unavailable).,Machine Learning Engineer
Tinder,Unknown,Data Scientist Intern,Extracted via local fallback parser (LLM unavailable).,Data Scientist
Netflix,Unknown,Data Scientist (L4) - Marketing and Experience DSE,Extracted via local fallback parser (LLM unavailable).,Data Scientist
hackajob,Unknown,Data Scientist,Extracted via local fallback parser (LLM unavailable).,Data Scientist
Actively Hiring,Unknown,"Atlanta, GA",Extracted via local fallback parser (LLM unavailable).,Data Scientist
Asana,Unknown,Data Scientist,Extracted via local fallback parser (LLM unavailable).,Data Scientist
Nubank,Unknown,LinkedIn,Extracted via local fallback parser (LLM unavailable).,AI Engineer
Nubank,Unknown,Machine Learning Engineer (AI CORE),Extracted via local fallback parser (LLM unavailable).,AI Engineer
Netflix,Unknown,Machine Learning Engineer (L4/L5) - Emerging Game Technologies,Extracted via local fallback parser (LLM unavailable).,AI Engineer
Unknown Company,Unknown,"Los Angeles, CA",Extracted via local fallback parser (LLM unavailable).,AI Engineer
"Palo Alto, CA",Unknown,AI/ML Engineer (Recent Grad),Extracted via local fallback parser (LLM unavailable).,AI Engineer
Qualcomm,Unknown,LinkedIn,Extracted via local fallback parser (LLM unavailable).,NLP Engineer
Qualcomm,Unknown,"Engineer, Machine Learning Engineering (ML Apps)",Extracted via local fallback parser (LLM unavailable).,NLP Engineer
hackajob,Unknown,Sr AI/ML Engineer,Extracted via local fallback parser (LLM unavailable).,NLP Engineer
Synergy ECP,Unknown,Junior AI Engineer,Extracted via local fallback parser (LLM unavailable).,NLP Engineer
