timestamp,spider,keyword,mode,status,jobs_found,note
2026-03-15T03:48:59.106215+00:00,linkedin,Release Engineer,no-llm,DONE,10,
2026-03-15T03:49:52.115015+00:00,linkedin,Automation Engineer,no-llm,DONE,10,
2026-03-15T03:50:45.191970+00:00,linkedin,Containerization Engineer,no-llm,DONE,10,
2026-03-15T03:52:32.773013+00:00,jobright,Front-End Engineer,no-llm,DONE,10,
2026-03-15T03:54:37.224034+00:00,jobright,Back-End Engineer,no-llm,DONE,10,
2026-03-15T03:56:31.672203+00:00,jobright,Full-Stack Engineer,no-llm,DONE,10,
2026-03-15T03:58:24.332646+00:00,jobright,Mobile Engineer,no-llm,DONE,10,
2026-03-15T04:00:06.240362+00:00,jobright,Systems Engineer,no-llm,DONE,10,
2026-03-15T04:02:00.921270+00:00,jobright,Game Developer,no-llm,DONE,10,
2026-03-15T04:04:05.545384+00:00,jobright,Security Analyst,no-llm,DONE,10,
2026-03-15T04:05:49.231288+00:00,jobright,Penetration Tester,no-llm,DONE,10,
2026-03-15T04:07:53.711019+00:00,jobright,Security Engineer,no-llm,DONE,10,
2026-03-15T04:09:54.768295+00:00,jobright,Cloud Security Engineer,no-llm,DONE,10,
2026-03-15T04:12:02.249153+00:00,jobright,SOC Analyst,no-llm,DONE,10,
2026-03-15T04:13:55.822969+00:00,jobright,Application Security,no-llm,DONE,10,
2026-03-15T04:16:01.754081+00:00,jobright,GRC Analyst,no-llm,DONE,10,
2026-03-15T04:17:47.189299+00:00,jobright,Machine Learning Engineer,no-llm,DONE,10,
2026-03-15T04:20:01.425538+00:00,jobright,Data Scientist,no-llm,DONE,10,
2026-03-15T04:22:14.701814+00:00,jobright,AI Engineer,no-llm,DONE,10,
2026-03-15T04:24:20.998294+00:00,jobright,NLP Engineer,no-llm,DONE,10,
2026-03-15T04:26:34.785355+00:00,jobright,Computer Vision Engineer,no-llm,DONE,10,
2026-03-15T04:28:25.331020+00:00,jobright,Research Scientist,no-llm,DONE,10,
2026-03-15T04:30:42.135363+00:00,jobright,BI Developer,no-llm,DONE,10,
2026-03-15T04:32:32.791417+00:00,jobright,Data Visualization Engineer,no-llm,DONE,10,
2026-03-15T04:34:30.431117+00:00,jobright,Analytics Engineer,no-llm,DONE,10,
2026-03-15T04:36:18.844136+00:00,jobright,Reporting Analyst,no-llm,DONE,10,
2026-03-15T04:38:02.645014+00:00,jobright,Cloud Infrastructure Engineer,no-llm,DONE,10,
2026-03-15T04:39:44.051193+00:00,jobright,Cloud Architect,no-llm,DONE,10,
2026-03-15T04:41:26.463023+00:00,jobright,Site Reliability Engineer,no-llm,DONE,10,
2026-03-15T04:43:17.391451+00:00,jobright,Platform Engineer,no-llm,DONE,10,
2026-03-15T04:44:59.111144+00:00,jobright,Agile Project Manager,no-llm,DONE,10,
2026-03-15T04:46:32.961527+00:00,jobright,Program Manager,no-llm,DONE,10,
2026-03-15T04:48:13.897425+00:00,jobright,Technical Product Manager,no-llm,DONE,10,
2026-03-15T04:49:58.176170+00:00,jobright,Scrum Master,no-llm,DONE,10,
2026-03-15T04:51:42.905743+00:00,jobright,CI/CD Engineer,no-llm,DONE,10,
2026-03-15T04:53:12.147804+00:00,jobright,Infrastructure as Code Engineer,no-llm,DONE,10,
2026-03-15T04:54:44.835401+00:00,jobright,Release Engineer,no-llm,DONE,10,
2026-03-15T04:56:33.724793+00:00,jobright,Automation Engineer,no-llm,DONE,10,
2026-03-15T04:58:12.021365+00:00,jobright,Containerization Engineer,no-llm,DONE,10,
2026-03-15T04:58:13.756142+00:00,handshake,Front-End Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:15.341938+00:00,handshake,Back-End Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:16.976149+00:00,handshake,Full-Stack Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:18.635263+00:00,handshake,Mobile Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:20.275164+00:00,handshake,Systems Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:21.862830+00:00,handshake,Game Developer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:22.957139+00:00,handshake,Security Analyst,no-llm,NO_RESULTS,0,
2026-03-15T04:58:24.593689+00:00,handshake,Penetration Tester,no-llm,NO_RESULTS,0,
2026-03-15T04:58:26.227068+00:00,handshake,Security Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:27.918575+00:00,handshake,Cloud Security Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:29.511726+00:00,handshake,SOC Analyst,no-llm,NO_RESULTS,0,
2026-03-15T04:58:31.132997+00:00,handshake,Application Security,no-llm,NO_RESULTS,0,
2026-03-15T04:58:32.741364+00:00,handshake,GRC Analyst,no-llm,NO_RESULTS,0,
2026-03-15T04:58:34.389670+00:00,handshake,Machine Learning Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:35.949524+00:00,handshake,Data Scientist,no-llm,NO_RESULTS,0,
2026-03-15T04:58:37.732804+00:00,handshake,AI Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:39.269393+00:00,handshake,NLP Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:40.842721+00:00,handshake,Computer Vision Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:42.331795+00:00,handshake,Research Scientist,no-llm,NO_RESULTS,0,
2026-03-15T04:58:43.982358+00:00,handshake,BI Developer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:45.180353+00:00,handshake,Data Visualization Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:46.717351+00:00,handshake,Analytics Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:48.208437+00:00,handshake,Reporting Analyst,no-llm,NO_RESULTS,0,
2026-03-15T04:58:49.766462+00:00,handshake,Cloud Infrastructure Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:51.296021+00:00,handshake,Cloud Architect,no-llm,NO_RESULTS,0,
2026-03-15T04:58:52.729111+00:00,handshake,Site Reliability Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:54.300959+00:00,handshake,Platform Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:55.867716+00:00,handshake,Agile Project Manager,no-llm,NO_RESULTS,0,
2026-03-15T04:58:57.597047+00:00,handshake,Program Manager,no-llm,NO_RESULTS,0,
2026-03-15T04:58:59.376352+00:00,handshake,Technical Product Manager,no-llm,NO_RESULTS,0,
2026-03-15T04:59:00.991457+00:00,handshake,Scrum Master,no-llm,NO_RESULTS,0,
2026-03-15T04:59:02.621444+00:00,handshake,CI/CD Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:59:04.395562+00:00,handshake,Infrastructure as Code Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:59:06.174969+00:00,handshake,Release Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:59:07.950716+00:00,handshake,Automation Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:59:09.729938+00:00,handshake,Containerization Engineer,no-llm,NO_RESULTS,0,
