company_name,job_type,job_name,description,qualifications
Notion,Unknown,"Software Engineer, Fullstack, Early Career","About Us

Notion helps you build beautiful tools for your life’s work. In today's world of endless apps and tabs, Notion provides one place for teams to get everything done, seamlessly connecting docs, notes, projects, calendar, and email—with AI built in to find answers and automate work. Millions of users, from individuals to large organizations like Toyota, Figma, and OpenAI, love Notion for its flexibility and choose it because it helps them save time and money.

In-person collaboration is essential to Notion's culture. We require all team members to work from our offices on Mondays, Tuesdays, and Thursdays, our designated Anchor Days. Certain teams or positions may require additional in-office workdays.

About The Role

As an Early Career Software Engineer at Notion, you’ll help shape core user experiences and accelerate how people discover value in Notion. You'll tackle meaningful challenges with increasing autonomy, crafting code that millions of users will experience. You'll take ownership of projects that matter, make critical technical decisions, and contribute your unique perspective to our product vision. Working alongside passionate experts across design, product, and data, you'll help shape the future of how people work.

We’re hiring early career engineers to join us across several teams at Notion. Your recruiter will partner with you to find the team that best aligns with your interests and where you can make the highest impact.

What You’ll Achieve


Plan, build, and ship product features from conception to launch, then iterate based on insights and user feedback.
Improve performance, reliability, and quality of key experiences used by millions of users and thousands of organizations.
Run experiments that drive activation, retention, collaboration, and ",Full-Stack Engineer
OffDeal,Unknown,Full Stack Engineer (New Grad),"OffDeal is the world’s first AI-native investment bank for small businesses. Instead of selling AI to Goldman Sachs, we’re building what Goldman itself would have looked like if it launched in 2025.

Wall Street's playbook works well, but only for billion-dollar deals - it breaks where most businesses actually exist. Traditional firms run oversized teams on outdated software, making smaller M&A transactions uneconomical. This leaves millions of small business owners with nowhere to turn for the most important sale of their lives… Until now.

Our engineers built software to automate 80%+ of analyst work with AI, so our in-house bankers can focus where it counts - on earning owners’ trust and closing deals.

We recently closed a $12M Series A ($17M in total funding) from Radical Ventures and Y Combinator and are scaling really fast. In less than a year, our team has already launched over 30 sell-side M&A transactions and has delivered numerous life-changing exits to our clients - and we’re just getting started.

Read more about our story:


https://www.ft.com/content/9daf5c7e-e301-4b7d-809a-ff9fb336bdbc
https://www.cnbc.com/video/2025/08/04/wall-streets-new-ai-era-offdeal-ceo-on-using-ai-to-disrupt-investment-banking.html
https://www.fullydistributed.co/p/the-bull-case-for-an-ai-native-investment


The Role

As a Full Stack Engineer, you'll work directly with the CTO and the investment banking team to build the AI-native platform that empowers our investment bankers to be 10x more productive.

Your work will directly impact how $10 trillion worth of small businesses change hands over the coming decade.

What You'll Do


Collaborate with our in-house investment bankers to own 0 to 1 projects, from ideation to deployment
Build across the entire stack, in our 100% TypeScript",Full-Stack Engineer
Baton Corporation,Unknown,Junior Full Stack Engineer ($250k - $300k salary),"Who We Are

Baton Corporation is the development company that builds and operates the entire technology stack behind pump.fun, the largest memecoin launchpad in production today. The systems are low latency, high throughput, live under constant load, and break if you get them wrong.

What You’ll Do

As a Full Stack Engineer at Baton, you’ll work on production systems operating at real scale, alongside a team of highly experienced engineers. This is a hands-on role with immediate responsibility and fast feedback.


Build, ship, and iterate on production features that reach hundreds of thousands of users
Work across the stack, from backend services and data pipelines to frontend interfaces, gaining deep exposure to how large systems are built and operated
Learn to design for performance, reliability, and scalability by working on systems under real-world load
Prototype quickly, test ideas with real users, and refine based on data rather than opinion
Tackle ambiguous, technically challenging problems and learn to reason from first principles with guidance from experienced engineers
Collaborate closely with a small, high-caliber team where code quality, clarity of thought, and execution speed matter
Own features end to end, from initial idea and implementation through deployment, monitoring, and iteration


Who You Are


An exceptional early-career engineer with a strong foundation in computer science and the ability to ramp quickly on new systems and codebases
Studied at a top university or demonstrated equivalent ability through competitive programming, Olympiads, open-source contributions, or substantial personal projects
Comfortable working across the stack, with hands-on experience in technologies like TypeScript, React, Next.js, and Node.js (or adjacent modern framewo",Full-Stack Engineer
Apple,Unknown,Full Stack Software Engineer,"Summary

Do you love creating elegant solutions to highly complex challenges? Do you intrinsically see the importance of every detail? As part of our Hardware Technology organization, you’ll help design and build highly available web applications and data visualization frameworks. You will work across the software stack, from designing scalable APIs and data pipelines to creating intuitive front-end interfaces, and integrating AI-powered features into our services. In this highly visible role, you will be part of an agile software team that produces high-quality tools and services used across the organization for tracking, triaging, and debugging various chip design workflows to enable hardware engineering teams to design the world’s most advanced silicon more efficiently!

Description

Primary responsibilities for this role include:


Designing and maintaining end-to-end web applications, including frontend, backend, and database layers
Developing and debugging tools in a custom Linux environment
Collaborating with cross-functional teams to create dashboards that visualize and track critical chip design metrics
Developing and deploying REST APIs that serve both traditional and AI-driven features
Contributing to CI/CD pipelines, testing, and monitoring to ensure reliability


Minimum Qualifications


Minimum requirement of BS + 3 years of relevant industry experience
Hands-on experience in at least one general-purpose programming language (Python, JavaScript, or Go)
Experience with frontend web development (React and modern JavaScript frameworks)
Experience with SQL and NoSQL databases
Experience with a Linux environment
Understanding of RESTful API design and authentication techniques (Eg. JWT, OAuth etc)


Preferred Qualifications


Strong knowledge of data structures",Full-Stack Engineer
Apple,Unknown,Software Engineer - Early Career (Backend/Data),"Summary

At Apple, we believe in the power of technology to enrich people's lives. Everything we build is designed to empower people, including our advertising platform. We deliver ads in a way that benefits both customers and advertisers — helping people discover content, supporting creators, and protecting and respecting everyone’s privacy.

Our technology makes advertising possible on the App Store, Apple News, Stocks, and Apple TV. We help developers and marketers of all sizes drive app discovery across the App Store. Our display ads on Apple News and Stocks let advertisers promote their products alongside trusted content from the world’s best journalists. Sponsorship integrations and experiences in live sports on Apple TV help advertisers connect with passionate fans. Everything we do is with the unwavering commitment to privacy you expect from Apple. Because when advertising is done right, it benefits everyone!

Description

Ads Engineering builds ad tech the Apple way—privacy-preserving, user-centric, and built to scale. Our infrastructure supports massive real-time demand with low latency, precision, and global reach. Our work spans distributed systems, large-scale data infrastructure, LLMs, and Generative AI. We design and build best of breed systems for dealing with our complex and ever-growing platform needs that help deliver highly optimized advertising content to consumers.

We are excited to open applications for an early-career software engineer. This shared hiring process is designed to identify strong entry-level talent for our backend and data engineering teams. Candidates will complete a common interview process focused on core fundamentals and programming ability. Those who advance will then enter a team-matching phase, where they’ll be aligned with ",Full-Stack Engineer
Notion,Unknown,"Software Engineer, Mobile Platform (Android)","About Us

Notion helps you build beautiful tools for your life’s work. In today's world of endless apps and tabs, Notion provides one place for teams to get everything done, seamlessly connecting docs, notes, projects, calendar, and email—with AI built in to find answers and automate work. Millions of users, from individuals to large organizations like Toyota, Figma, and OpenAI, love Notion for its flexibility and choose it because it helps them save time and money.

In-person collaboration is essential to Notion's culture. We require all team members to work from our offices on Mondays, Tuesdays, and Thursdays, our designated Anchor Days. Certain teams or positions may require additional in-office workdays.

About The Role

Mobile devices have reshaped personal computing—the power of a desktop now fits in our pockets. By giving everyone the building blocks to create their own tools, we'll solve more problems wherever we go. A delightful, intuitive mobile experience: that's our guiding light, and we need Android engineers to make it a reality.

What You'll Achieve

The Mobile Platform team’s mission is to deliver a best-in-class mobile app by making it easy to build high-quality, performant features.


You'll help mobile product teams by developing services, frameworks, and shared UI components. You’ll set the direction for how features should be built on Android.
We value building high quality apps. You'll improve the performance, reliability, and polish of our Android app.
You’ll drive developer velocity through improvements to our builds systems, mobile CI/CD, and the release process.


Skills You'll Need To Bring


Thoughtful problem-solving: For you, problem-solving starts with a clear and accurate understanding of the context. You can decompose tricky problems and",Mobile Engineer
xAI,Unknown,Mobile Android Engineer,"About XAI

xAI's mission is to create AI systems that can accurately understand the universe and aid humanity in its pursuit of knowledge.

Our team is small, highly motivated, and focused on engineering excellence. This organization is for individuals who appreciate challenging themselves and thrive on curiosity.

We operate with a flat organizational structure. All employees are expected to be hands-on and to contribute directly to the company's mission. Leadership is given to those who show initiative and consistently deliver excellence. Work ethic and strong prioritization skills are important.

All employees are expected to have strong communication skills. They should be able to concisely and accurately share knowledge with their teammates.

About The Role

We're seeking an exceptional Android engineer to join a small, high-impact team dedicated to creating the world's most valuable AI application, judged by the impact it delivers to users. You'll shape cutting-edge mobile experiences, blending technical mastery with a keen product sense to deliver brilliance that resonates with users. You will work on the most critical product or technical challenge at any given time.

Required Qualifications


Proficient in Kotlin, Jetpack Compose and reactive programming.
Has a strong product sense and high craft bar. Builds intuitive and delightful user experiences.
Experienced in architecting modern large production apps while embodying technical excellence.
Strong sense of ownership and agency. Able to put on multiple hats and take responsibility for large areas.
Able to optimize for performance, stability and reliability.


Preferred Qualifications


A proven track record of shipping standout apps or features that demonstrate both technical excellence and exceptional produc",Mobile Engineer
Veracity Software Inc,Unknown,Mobile App Developer,"Work Location: Helena, Montana

Work Model: Hybrid - 1 day onsite per week (Wednesday mandatory)

Contract Duration: 12 Months (1,900 Hours)

Onsite Requirement: Fully remote candidates will be rejected

Our Client is seeking a skilled Mobile App Developer to support ongoing enhancements and new feature development for the MyFWP mobile app and the new Explore Montana (XMT) mobile application. The developer will work as part of FWP's Agile/SCRUM team, collaborating closely with project managers, app owners, and technical staff. Work includes UI/UX, database modifications, API integrations, backend tasks, testing, documentation, and delivery of production-ready code every sprint.

This role requires hybrid work, with onsite presence every Wednesday in Helena, MT.

Work Type


Enhance and develop MyFWP app
Build components for XMT app
UI, backend, and database work
Work through GitLab tickets
Join all required Agile/SCRUM meetings


Key Responsibilities2. Explore Montana (XMT) App Development3. Full-Cycle Mobile App Development4. GitLab-Based Work Management5. UI, Backend & Database Changes6. Agile/SCRUM Participation7. Defect Resolution8. Compliance with Montana State IT StandardsRequired QualificationsPreferred SkillsDeliverables


MyFWP Mobile App Enhancements
Build new features, screens, and modules.
Improve user experience and existing app functionality.
Implement technical changes assigned by FWP.
Develop new components or expand functionality as defined by the FWP Project Manager.
Requirements analysis & technical design
Coding, testing, and debugging
Implementation & deployment coordination
Technical documentation & change logs
All tasks assigned and tracked via GitLab tickets
Work must follow FWP priority order
Develop UI/UX components
Implement database updates, ",Mobile Engineer
Reconstruct Inc,Unknown,Mobile App Developer,"About the job: Mobile App Developer position

How often do you get the chance to make a global impact developing the latest AI inside of the “built world”? Reconstruct’s Visual Command Center (VCC) uses AI and Machine Learning inside of computer vision to track the lifecycle of large capital assets like data centers, airports, hospitals, water treatment systems, etc. Come join our team with your talents as a Mobile App Developer. Check us out at www.reconstructinc.com.

Must be able to come into the company office in Menlo Park, CA; Chicago, IL; or Champaign, IL.

Objectives of this role


Translate the company’s vision to modify and create Reconstruct’s mobile apps through clean coding
Design the next-gen models of apps with high-quality mobile and application development
Manage the entire evolution process of the app from ideation to execution and refinement and optimization
Collaborate with other engineering and product team members to deliver “best in class” solutions


Responsibilities


Build the design interface as per customers’ needs and develop new features in Android & iOS
Fix bugs and other performance issues while improving the usability of the mobile apps through periodic testing
Collaborate with other mobile app developers, back-end and front-end developers and designers throughout the lifecycle of the apps
Communicate with users to understand their exact requirements and delivery value to them


Required Skills And Qualifications


Bachelor’s degree in computer science or related technical field
3+ years’ experience working as a mobile app developer with a variety of APIs
Comprehensive knowledge of mobile app development
Strong communication skills, both written and verbal & demonstrated ability to take ownership, multi-task, lead technical projects, and",Mobile Engineer
Meta,Unknown,"Software Engineer, Android","Meta is seeking talented engineers to join our teams in building cutting-edge products that connect billions of people around the world. As a member of our team, you will have the opportunity to work on complex technical problems, build new features, and improve existing products across various platforms, including mobile devices and web applications. Our teams are constantly pushing the boundaries of user experience, and we're looking for passionate individuals who can help us advance the way people connect globally. If you're interested in joining a world-class team of industry veterans and working on exciting projects that have a significant impact, we encourage you to apply.

Software Engineer, Android Responsibilities:


Collaborate with cross-functional teams (product, design, operations, infrastructure) to build innovative application experiences
Implement custom user interfaces using latest programming techniques and technologies
Develop reusable software components for interfacing with back-end platforms
Analyze and optimize code for quality, efficiency, and performance
Lead complex technical or product efforts and provide technical guidance to peers
Architect efficient and scalable systems that drive complex applications
Identify and resolve performance and scalability issues
Work on a variety of coding languages and technologies
Establish ownership of components, features, or systems with expert end-to-end understanding


Minimum Qualifications:


Currently has, or is in the process of obtaining a Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta
2+ years of programming experience in a relevant language OR a PhD + 9 months programming experi",Mobile Engineer
